Setting logging level to DEBUG
2018-11-03 14:08:51.705+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /185.186.246.28:30303.
2018-11-03 14:08:51.724+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0x84bb4007eaff728fec301701ab84ae5d... under INITIATOR role
2018-11-03 14:08:51.739+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@1ee400ad
2018-11-03 14:08:51.756+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0x7421e97c2ebe7339451788cbc5e0c6f9...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@3ac19b3a
2018-11-03 14:08:51.765+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Handshake status set to SUCCESS
2018-11-03 14:08:51.767+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2018-11-03 14:08:51.770+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2018-11-03 14:08:51.774+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='Geth/v1.8.4-stable-6b54f497/linux-amd64/go1.10', capabilities=[eth/63, eth/62], port=0, nodeId=0x7421e97c2ebe7339451788cbc5e0c6f94c8fa0bbebf52a5620bd9c0caa5f261ac16a1946908b6c638d94f3f036cc72f4b1f587ba0b9868bc225aa2f1e4cea8be}
2018-11-03 14:08:51.776+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2018-11-03 14:08:51.780+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to 0x7421e97c2ebe733945....
2018-11-03 14:08:51.783+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connection established to peer: 0x7421e97c2ebe7339451788cbc5e0c6f94c8fa0bbebf52a5620bd9c0caa5f261ac16a1946908b6c638d94f3f036cc72f4b1f587ba0b9868bc225aa2f1e4cea8be
2018-11-03 14:08:51.786+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 2 pending, 2 active connections.
2018-11-03 14:08:51.803+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0xac6b1096ca56b9f6d004b779ae3728bf...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@5886ec6a
2018-11-03 14:08:51.810+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Handshake status set to SUCCESS
2018-11-03 14:08:51.813+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2018-11-03 14:08:51.814+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2018-11-03 14:08:51.822+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='Geth/v1.7.2-stable-d4a1b095/linux-amd64/go1.7.4', capabilities=[istanbul/64], port=0, nodeId=0xac6b1096ca56b9f6d004b779ae3728bf83f8e22453404cc3cef16a3d9b96608bc67c4b30db88e0a5a6c6390213f7acbe1153ff6d23ce57380104288ae19373ef}
2018-11-03 14:08:51.822+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2018-11-03 14:08:51.827+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Disconnecting from Geth/v1.7.2-stable-d4a1b095/linux-amd64/go1.7.4 because no capabilities are shared.
2018-11-03 14:08:51.828+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Failed to connect to peer 0xac6b1096ca56b9f6d004b779ae3728bf83f8e22453404cc3cef16a3d9b96608bc67c4b30db88e0a5a6c6390213f7acbe1153ff6d23ce57380104288ae19373ef: tech.pegasys.pantheon.ethereum.p2p.netty.exceptions.IncompatiblePeerException: No shared capabilities
2018-11-03 14:08:51.828+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 1 pending, 2 active connections.
2018-11-03 14:08:51.828+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyPeerConnection | Disconnecting (USELESS_PEER) from PeerInfo{version=5, clientId='Geth/v1.7.2-stable-d4a1b095/linux-amd64/go1.7.4', capabilities=[istanbul/64], port=0, nodeId=0xac6b1096ca56b9f6d004b779ae3728bf83f8e22453404cc3cef16a3d9b96608bc67c4b30db88e0a5a6c6390213f7acbe1153ff6d23ce57380104288ae19373ef}
2018-11-03 14:08:51.829+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Disconnecting from peer with mismatched network id: 444
2018-11-03 14:08:51.830+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyPeerConnection | Disconnecting (SUBPROTOCOL_TRIGGERED) from PeerInfo{version=5, clientId='Geth/v1.8.4-stable-6b54f497/linux-amd64/go1.10', capabilities=[eth/63, eth/62], port=0, nodeId=0x7421e97c2ebe7339451788cbc5e0c6f94c8fa0bbebf52a5620bd9c0caa5f261ac16a1946908b6c638d94f3f036cc72f4b1f587ba0b9868bc225aa2f1e4cea8be}
2018-11-03 14:08:51.830+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Disconnecting from peer (SUBPROTOCOL_TRIGGERED), 1 peers left: EthPeers{connections=0xefad3d812040e121ac...}
